Key,Korean (South Korea)(ko-KR),English (United States)(en-US)
MR1302_L018,♩ ♮♮♮...♫,♩ ♮♮♮...♫
MR1302_L019,"... 그래, 우리 세 명이\n서로의 청자가 되어 주었듯이.",... Yes. Like how the three of us\nlistened to each other.
MR1302_L020,... 인간들이 알았으면 좋겠음.,... I want humans to know.
MR1302_L021,우리가 귀 기울이고 있다는 것을.,That we are listening.
MR1302_L022,매일 한 명 한 명의 인간을 위해\n꿈을 만드는 한 명 한 명의\n꿈 공장 직원들이 있으며...,"That there are dream factory workers\ncrafting dreams for each\nperson, for <i>you</i>."
MR1302_L023,"비록 그들을 더는 볼 수 없게 되었음에도,\n그들의 하루하루를 응원하고\n사랑하는 달 뒤편의 청소부들이 있다고.",That there are cleaners on the dark side\nof the Moon who root for\nand love all their days.
MR1302_L024,우리만으로는 충분하지 않을지라도...\n우리의 목소리가 너무 작아\n미처 닿지 못할지라도.,That even if we may not be\nenough... even if our voices\nare too weak to reach so far.
MR1302_L025,그렇다 할지라도.,Even so.
MR1302_L026,우리가 있으니...,We are still here...
MR1302_L027,죽지 않고 살아 주면 좋겠다고.,And we want them to live on.
MR1401_L001,"너희, 지구에 가 보고 싶어?",Do you guys ever\nwanna go to Earth?
MR1401_L002,갑자기? 지구? 갈 방법이\n없는데 그걸 왜 상상해야 하지?,Earth? Now? Why think on it when\nwe have no means of going?
MR1401_L003,......,......
MR1401_L004,됐어. 됐어. 어차피\n나도 안 궁금했거든?,"Fine, whatever. It’s not like\nI was curious or anything!"
MR1401_L005,... 지구는 흥미로운 미지 투성이다.,… Earth is full of mysteries.
MR1401_L006,그러나 우주에서 나는 돌만큼이나\n내 연구에 실용적인 자원은 없다.,But the Moon offers resources\nof actual use for my research.
MR1401_L007,인간 학자들의\n의견은 조금 궁금한걸....,Though human scholars and\ntheir ideas do intrigue me.…
MR1401_L008,♩♫♮  ♩♪ \n♩♩♩♩—♫,♩♫♮ ~~
MR1401_L009,첼로 경은 지구 상의\n선율들이 궁금하대.,Sir Cello wants to learn\nthe melodies of Earth.
MR1401_L010,특히 바람 소리나 빗소리처럼\n지구의 자연이 내는\n다정한 울림들이.,"Like the gentle tunes of\nnature, blowing in the wind\nor pouring in the rain."
MR1401_L011,(달 나비의 맑은 종소리 같은\n날갯짓이 먼 발치에서 들린다.),(The beating of Moon butterfly\nwings rings from far away\nlike clear bells.)  
MR1401_L012,♮♭~♫ ♫♩,♮♭~♫ ♫♩
MR1401_L013,동감함. 달에서만 특수히 공명하는\n선율들이 나 역시 그리워질 거다.,I concur. I too would miss the unique\nmelodies echoing on the Moon.
MR1401_L014,"나는 정말 가 보고 싶지만,\n지구에는 인간을 비롯한\n생물이 너무 많아.",I’d give anything to go. But there\nare too many creatures on Earth.
MR1401_L015,"너무, 너무.... 너무 많아!","Too, too…. TOO many!"
MR1401_L016,내 불길이 뜨거워 누군가 다칠지도 몰라.,My flames could hurt any one of them.
MR1401_L017,"비좁지만, 척박해서 오히려\n널찍하게 느껴지는 달이\n나에겐 딱인걸.","The Moon, though cramped\nand barren, might in fact be\njust wide enough for me."
MR1401_L018,"아, 마음대로 뛰어다닐 수도 있지.","Oh, and I can run anywhere\nand everywhere here."
MR1401_L019,뛰이이어어어어다아아니이이이이...\n(뛰는 발소리. 점점 작아진다.),I can ruuuuuuuuuuun…\n(Running footsteps grow quieter.)
MR1402_L001,인간! 우리... 그러니까...\n마지막 인사하러 왔어.,Human! We’re here to...\nwell... say our goodbyes.
MR1402_L002,뭉치의 눈을 통해 틈틈이\n바라보았던 넌 정말 아름답고\n따스한 마음을 가진 인간이었어!,"From what we’ve seen through\nDot’s eyes, you’ve been such\na beautiful and warm human."
MR1402_L003,"그래, 그런 당신을\n만나게 되어 영광이었다.","Yes, it was an honor to meet you."
MR1402_L004,우리는 너를 사랑해!\n모두가 사랑하고 있어!,We love you!\nEveryone loves you!
MR1402_L005,"달의 뒤편에서, 영원히!","Sincerely and forever, from\nthe dark side of the Moon!"
MR1402_L006,♩♩♩  * ! !,♩♩♩  * ! !
MR1402_L007,첼로 경 역시 영광이었대.\n많은 인간에게 우리가\n그들을 사랑한다고 전해 달래!,Sir Cello also says it was an\nhonor. He says to tell many\nhumans that we love them!
MR1402_L008,이런. 구식 회로를 사용해서\n그런가. 고장 나기 직전.,Oh. The transmitter is about\nto break down. Perhaps it is\nthe outdated circuits.
MR1402_L009,걱정 마. 머지않아 달나라\n송신기 ver 2.를 출시할 것이다.,No need for concern. Soon an updated\nversion will be released.
MR1402_L010,"‘양방향 통신’ 기술이 개발에\n임박했으니까. 기다려라, 인간.","‘Two-way communication’ is\non the horizon. Wait, human."
MR1402_L011,그럼 이건... 곧 꺼지는 거야?,Then will this one... turn off soon?
MR1402_L012,그렇다.,Yes.
MR1402_L013,인간...... 인간...!\n그리울 거야. 정말이야.,Human....... human..!\nI’m really gonna miss ya.
MR1402_L014,(먹먹한 목소리를 가다듬듯\n첼로 조율하는 소리를 낸다.),(Cello tuning noises sound\nlike the clearing of a throat.)
MR1402_L015,"아냐, 아냐! 우리 웃으며\n헤어지자고!",Nah! Let’s end things with a laugh!
MR1402_L016,그러니 우리 셋이 함께 특별한\n이별 노래를 불러 줄게. 알았지?,So here’s a serenade\nfrom the three of us.
MR1402_L017,"크흠, 크흠! 잘 들어야 해!\n인간에게도 익숙한 노래일 거야!",Ahem! Listen up!\nYou might know this song.
MR1402_L018,"첼로 경, 음악 준비해 줘!","Sir Cello, cue music!"
MR1402_L019,♩♫♮ ~~,♩♫♮ ~~
MR1402_L020,아아- 안녕은\n영원한 헤어짐이 (-치직),"♫<i>So long, farewell\nAuf Wiedersehen, goodbye</i>♫"
MR1402_L021,(치익......) 다시 만나기\n위한 약속일 (치직... 칙),"♫<i>Goodbye, goodbye...... goodbye!</i>♫"
